Chemical,Label
NCGC00261900-01,0.0932750478386879
NCGC00260869-01,0.017867615446448326
NCGC00261776-01,0.9397616982460022
NCGC00261842-01,0.01167513057589531
NCGC00261662-01,0.9840191602706909
NCGC00261926-01,0.3460307717323303
NCGC00260921-01,0.9519891738891602
NCGC00261119-01,0.5028332471847534
NCGC00260831-01,0.9717004299163818
NCGC00261544-01,0.09505598992109299
NCGC00261633-01,0.00024139246670529246
NCGC00261395-01,0.9220903515815735
NCGC00261717-01,0.016604892909526825
NCGC00261424-01,0.14226308465003967
NCGC00261861-01,0.07286927849054337
NCGC00261924-01,0.09404708445072174
NCGC00261052-01,0.48599499464035034
NCGC00261683-01,0.4592169523239136
NCGC00261026-01,0.32029467821121216
NCGC00261057-01,0.028327103704214096
NCGC00261738-01,0.013819634914398193
NCGC00261348-01,0.003187530906870961
NCGC00261503-01,0.0021947568748146296
NCGC00260693-01,0.0003102621412836015
NCGC00260703-01,0.0002468915481586009
NCGC00260716-01,0.003843653481453657
NCGC00260782-01,0.003431059652939439
NCGC00260802-01,0.004021481145173311
NCGC00260823-01,0.004470348823815584
NCGC00261313-01,0.002544378861784935
NCGC00260757-01,0.003983060363680124
NCGC00260826-01,0.009308377280831337
NCGC00261005-01,0.010517691262066364
NCGC00260980-01,0.2135440856218338
NCGC00261816-01,0.04755298048257828
NCGC00260698-01,0.0008330076234415174
NCGC00260889-01,0.018507758155465126
NCGC00260811-01,0.12756048142910004
NCGC00261165-01,0.00429107341915369
NCGC00261060-01,0.010116086341440678
NCGC00261541-01,0.003500200342386961
NCGC00261649-01,0.009454621933400631
NCGC00261110-01,0.6256271600723267
NCGC00261130-01,0.810684323310852
NCGC00260846-01,0.5095194578170776
NCGC00261030-01,0.48584941029548645
NCGC00261162-01,0.6772213578224182
NCGC00261058-01,0.16622711718082428
NCGC00261404-01,0.04844749718904495
NCGC00261423-01,0.19177350401878357
NCGC00261856-01,0.07651280611753464
NCGC00261342-01,0.05078635364770889
NCGC00261935-01,0.1147361770272255
NCGC00261069-01,0.5177487730979919
NCGC00261101-01,0.02958734892308712
NCGC00261183-01,0.22008396685123444
NCGC00261716-01,0.016660859808325768
NCGC00260742-01,7.172020559664816e-06
NCGC00261529-01,0.3178098499774933
NCGC00261170-01,0.10413162410259247
NCGC00261565-01,0.20194783806800842
NCGC00260990-01,0.9155115485191345
NCGC00261340-01,0.7719221711158752
NCGC00261079-01,0.1901753693819046
NCGC00261389-01,0.1325749307870865
NCGC00261744-01,0.01913863979279995
NCGC00261420-01,0.026309166103601456
NCGC00261215-01,0.011535889469087124
NCGC00261826-01,0.046591948717832565
NCGC00260706-01,0.15208476781845093
NCGC00261123-01,0.3826679587364197
NCGC00261367-01,0.0420994833111763
NCGC00261507-01,0.06627169996500015
NCGC00261169-01,0.03516650199890137
NCGC00261730-01,0.06373098492622375
NCGC00261624-01,0.020686110481619835
NCGC00261641-01,0.07987824827432632
NCGC00261853-01,0.1524713933467865
NCGC00260911-01,0.23117972910404205
NCGC00260798-01,0.001406898139975965
NCGC00261384-01,0.14788082242012024
NCGC00260785-01,0.8122899532318115
NCGC00261597-01,0.029848400503396988
NCGC00261025-01,0.027428822591900826
NCGC00260789-01,0.11972218751907349
NCGC00260866-01,0.6267243027687073
NCGC00261189-01,0.054907165467739105
NCGC00261270-01,0.4299904406070709
NCGC00261611-01,0.03125560283660889
NCGC00261160-01,0.02124551311135292
NCGC00261085-01,0.00039793169707991183
NCGC00261817-01,0.07683788239955902
NCGC00261866-01,0.09111818671226501
NCGC00260852-01,0.44201478362083435
NCGC00261290-01,0.8104470372200012
NCGC00261304-01,0.19761398434638977
NCGC00261704-01,0.4967135787010193
NCGC00260850-01,0.20120267570018768
NCGC00260972-01,0.11464735865592957
NCGC00261364-01,0.007879124954342842
NCGC00261392-01,0.04159456491470337
NCGC00261638-01,0.2778085470199585
NCGC00261820-01,0.060751914978027344
NCGC00261808-01,0.04209132120013237
NCGC00260790-01,0.48249757289886475
NCGC00260940-01,0.9568943977355957
NCGC00261081-01,0.18385322391986847
NCGC00261133-01,0.3541201055049896
NCGC00261399-01,0.7753703594207764
NCGC00260696-01,0.2156744748353958
NCGC00261903-01,0.8828089833259583
NCGC00261178-01,0.3572564125061035
NCGC00261568-01,0.15083792805671692
